01/12/2021 20:43:07:  283911194 has not Enough Money to Make Call
01/12/2021 20:58:57:          1279680727 was Attached to Station
01/12/2021 20:58:57:          233056579 was Attached to Station
01/12/2021 20:58:57:          234411574 was Attached to Station
01/12/2021 20:58:57:          1279680727 is Calling 233056579
01/12/2021 20:58:57:          Billing System Checks 1279680727 Balance
01/12/2021 20:58:57:          1279680727 has Enough Money to Make Call
01/12/2021 20:58:57:          234411574 is Calling 233056579
01/12/2021 20:58:57:          Billing System Checks 234411574 Balance
01/12/2021 20:58:57:          234411574 has Enough Money to Make Call
01/12/2021 20:58:57:          233056579 is Busy
01/12/2021 20:59:01:          233056579 Did not Answer Call from 1279680727
01/12/2021 20:59:01:          Base Station Notifies Billing System of Failed Call from 1279680727 to 233056579
01/12/2021 20:59:08:          233056579 is Calling 911
01/12/2021 20:59:08:          Billing System Checks 233056579 Balance
01/12/2021 20:59:08:          233056579 has Enough Money to Make Call
01/12/2021 20:59:08:          911 Does not Exist
01/12/2021 20:59:08:          1279680727 is Calling 233056579
01/12/2021 20:59:08:          Billing System Checks 1279680727 Balance
01/12/2021 20:59:08:          1279680727 has Enough Money to Make Call
01/12/2021 20:59:08:          233056579 Answered Call from 1279680727
01/12/2021 20:59:18:          233056579 Ended Call with 1279680727
01/12/2021 20:59:18:          Base Station Notifies Billing System of Completed call from 1279680727 to 233056579
01/12/2021 20:59:18:          1279680727 is Calling 234411574
01/12/2021 20:59:18:          Billing System Checks 1279680727 Balance
01/12/2021 20:59:18:          1279680727 has not Enough Money to Make Call
01/12/2021 21:18:26:  413372649 was Attached to Station
01/12/2021 21:18:26:  222846927 was Attached to Station
01/12/2021 21:18:26:  886294745 was Attached to Station
01/12/2021 21:18:26:  413372649 is Calling 222846927
01/12/2021 21:18:26:  Billing System Checks 413372649 Balance
01/12/2021 21:18:26:  413372649 has Enough Money to Make Call
01/12/2021 21:18:26:  886294745 is Calling 222846927
01/12/2021 21:18:26:  Billing System Checks 886294745 Balance
01/12/2021 21:18:26:  886294745 has Enough Money to Make Call
01/12/2021 21:18:26:  222846927 is Busy
01/12/2021 21:18:30:  222846927 Did not Answer Call from 413372649
01/12/2021 21:18:30:  Base Station Notifies Billing System of Failed Call from 413372649 to 222846927
